Jahr;Monat;Destination;Destination_tx;Kt;Bettenmonat;Ankuenfte;Logiernaechte;AKAL;LNAL;Betriebe;Betten;Zimmer;Zimmernächte;AKSchweiz;AKBaltischeStaaten;AKDeutschland;AKFrankreich;AKItalien;AKÖsterreich;AKVereinigtesKönigreich;AKIrland;AKNiederlande;AKBelgien;AKLuxemburg;AKDänemark;AKSchweden;AKNorwegen;AKFinnland;AKSpanien;AKPortugal;AKGriechenland;AKTürkei;AKÜbrigesEuropa;AKLiechtenstein;AKIsland;AKPolen;AKUngarn;AKBelarus;AKBulgarien;AKChile;AKVereinigteStaaten;AKKanada;AKBrasilien;AKArgentinien;AKZentralamerika.Karibik;AKÜbrigesSüdamerika;AKÄgypten;AKÜbrigesNordafrika;AKSüdafrika;AKÜbrigesAfrika;AKIsrael;AKIndien;AKIran;AKJapan;AKÜbrigesSüd_2undOstasien;AKAustralien.Neuseeland.Ozeanien;AKChina;AKGolfStaaten;AKHongkong;AKIndonesien;AKSüdkorea;AKMalaysia;AKPhilippinen;AKSingapur;AKTaiwan;AKThailand;AKÜbrigesWestasien;AKSerbien.Montenegro;AKKroatien;AKRumänien;AKRussland;AKSlowakei;AKSlowenien;AKTschechien;AKUkraine;AKMalta;AKZypern;AKAustralien;AKNeuseeland.Ozeanien;AKEstland;AKLettland;AKLitauen;AKSerbien;AKMexiko;AKÜbrigesZentralamerika.Karibik;AKBahrain;AKKatar;AKKuwait;AKOman;AKSaudi_1Arabien;AKVereinigteArabischeEmirate;LNSchweiz;LNBaltischeStaaten;LNDeutschland;LNFrankreich;LNItalien;LNÖsterreich;LNVereinigtesKönigreich;LNIrland;LNNiederlande;LNBelgien;LNLuxemburg;LNDänemark;LNSchweden;LNNorwegen;LNFinnland;LNSpanien;LNPortugal;LNGriechenland;LNTürkei;LNÜbrigesEuropa;LNLiechtenstein;LNIsland;LNPolen;LNUngarn;LNBelarus;LNBulgarien;LNChile;LNVereinigteStaaten;LNKanada;LNBrasilien;LNArgentinien;LNZentralamerika.Karibik;LNÜbrigesSüdamerika;LNÄgypten;LNÜbrigesNordafrika;LNSüdafrika;LNÜbrigesAfrika;LNIsrael;LNIndien;LNIran;LNJapan;LNÜbrigesSüd_2undOstasien;LNAustralien.Neuseeland.Ozeanien;LNChina;LNGolf-Staaten;LNHongkong;LNIndonesien;LNSüdkorea;LNMalaysia;LNPhilippinen;LNSingapur;LNTaiwan;LNThailand;LNÜbrigesWestasien;LNSerbien.Montenegro;LNKroatien;LNRumänien;LNRussland;LNSlowakei;LNSlowenien;LNTschechien;LNUkraine;LNMalta;LNZypern;LNAustralien;LNNeuseeland.Ozeanien;LNEstland;LNLettland;LNLitauen;LNSerbien;LNMexiko;LNÜbrigesZentralamerika.Karibik;LNBahrain;LNKatar;LNKuwait;LNOman;LNSaudi_1Arabien;LNVereinigteArabischeEmirate;SummeAK;SummeLN
2005;1;0;Rest Schweiz;99;7743862;862835;2514156;423253;1401446;5059;249802;130925;1598452;439582;741;122509;33052;32683;7970;46700;1854;19102;16123;3506;2950;4662;1961;1744;7836;2535;3119;3346;5106;578;288;1963;1052;210;545;168;31071;3439;2578;577;1546;1007;843;1561;2158;1536;3240;1620;0;5668;2553;5895;3981;4150;722;513;4594;499;210;822;1812;1675;946;752;671;1076;10054;565;426;1247;943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1112710;2579;461662;81173;94510;21037;162473;5650;72435;85567;12894;8418;13504;5353;5377;20247;5669;10262;11043;13111;1564;784;5496;3479;825;1699;453;81187;9274;9013;1875;4799;2967;2892;5672;6923;4517;8371;5307;0;13752;5830;16393;7139;12710;1480;1221;7930;1215;574;2220;2913;3676;3004;1639;1384;3452;53309;1597;1733;3827;4387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;862835;2514156
2005;1;1;Heidiland;99;12276;818;2754;355;875;15;396;208;1777;463;0;191;7;18;3;1;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;109;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879;0;563;9;29;5;2;0;3;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;23;0;214;10;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;818;2754
2005;1;4;Zürichsee;99;124899;13680;28026;6398;13396;118;4029;2379;21431;7282;0;3143;347;431;413;375;15;292;146;48;27;36;15;26;73;7;9;33;39;5;3;48;12;37;4;0;302;24;28;0;16;57;2;6;13;1;24;28;0;19;19;30;20;4;7;0;6;5;7;4;5;7;16;8;14;4;15;17;8;87;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14630;0;6217;666;841;890;867;34;566;283;72;49;79;28;53;135;13;13;100;73;5;3;99;30;60;29;0;788;84;68;0;44;72;5;17;54;2;49;119;0;60;79;77;83;35;12;0;13;8;7;5;15;22;70;42;39;10;27;59;9;196;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13680;28026
2005;2;0;Rest Schweiz;8;51800;5316;17504;931;3673;62;1850;858;9476;4385;0;493;37;24;16;42;0;125;47;48;2;19;4;1;9;4;1;0;0;2;0;8;2;2;0;0;7;0;2;0;0;1;0;0;1;0;5;2;0;2;0;3;0;1;0;0;0;4;0;0;0;0;0;4;0;0;7;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13831;0;1435;141;103;42;232;0;647;262;342;12;116;12;5;18;4;11;0;0;8;0;36;2;2;0;0;12;0;11;0;0;1;0;0;2;0;14;3;0;6;0;131;0;1;0;0;0;7;0;0;0;0;0;8;0;0;36;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5316;17504
2005;2;0;Rest Schweiz;14;32704;3032;4881;1751;3110;35;1168;636;3687;1281;3;701;95;121;30;109;4;86;112;0;29;49;14;22;24;8;7;15;3;0;0;12;17;2;1;0;127;10;3;0;1;0;6;2;4;2;21;15;0;11;4;1;14;16;2;0;5;2;0;2;2;2;1;2;3;1;5;2;6;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1771;8;1064;123;225;52;219;6;131;185;0;32;67;22;44;48;22;20;42;3;0;0;33;31;4;1;0;349;13;8;0;1;0;20;8;8;6;35;28;0;23;16;6;20;51;2;0;5;4;0;21;2;6;2;4;11;6;22;3;20;22;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3032;4881
2005;2;0;Rest Schweiz;15;54656;2712;10838;493;1338;74;1952;1092;8378;2219;0;351;28;17;10;18;1;4;6;8;6;4;0;0;3;0;0;0;0;0;0;2;2;0;0;0;14;0;0;0;0;2;0;0;0;0;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9500;0;833;69;44;14;65;3;4;8;17;9;4;84;0;6;0;0;0;0;0;0;6;2;0;0;0;62;0;0;0;0;10;28;0;0;0;0;15;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2712;10838
2005;2;0;Rest Schweiz;16;59164;1729;4596;190;418;49;2113;671;3347;1539;0;117;21;4;1;8;0;8;2;0;0;1;0;0;2;0;0;0;7;0;0;0;2;0;0;0;13;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4178;0;217;63;4;2;22;0;28;4;0;0;5;0;0;11;0;0;0;26;0;0;0;4;0;0;0;26;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1729;4596
2005;2;0;Rest Schweiz;17;23184;2134;5448;1099;2744;32;828;456;3116;1035;0;598;82;49;83;58;1;15;18;0;10;16;0;1;18;2;3;14;3;8;0;6;3;0;0;0;25;7;0;0;3;4;0;1;0;1;1;1;0;9;9;0;8;1;0;3;8;2;0;1;0;5;0;1;1;3;4;0;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2704;0;1256;139;160;228;106;1;22;48;0;28;64;0;3;50;2;3;27;3;40;0;41;4;0;0;0;100;56;0;0;8;8;0;8;0;2;3;1;0;59;69;0;23;1;0;9;71;24;0;1;0;15;0;3;28;3;13;0;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2134;5448
2005;2;1;Heidiland;17;96852;12513;36179;4624;13347;91;3459;1793;21482;7889;0;3515;55;84;63;131;14;198;67;23;21;7;4;15;5;4;118;11;39;13;0;2;4;4;0;0;52;10;6;0;6;0;0;0;2;0;13;0;0;17;14;4;4;13;1;0;1;0;0;0;2;0;8;8;0;0;60;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22832;0;10006;203;185;235;512;34;553;99;27;36;33;6;36;9;4;351;32;52;75;0;2;5;8;0;0;166;17;6;0;12;0;0;0;6;0;33;0;0;32;70;10;6;130;1;0;6;0;0;0;4;0;12;8;0;2;300;7;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12513;36179
2005;2;2;St.Gallen-Bodensee;17;87808;10771;23595;4629;10688;93;3136;1808;17666;6142;8;2214;210;329;361;193;14;144;57;52;51;38;12;13;39;22;22;21;73;7;4;36;20;0;9;3;194;17;15;11;8;7;0;25;7;25;15;19;0;36;11;22;24;16;5;0;23;3;0;4;0;11;11;9;25;17;49;21;13;30;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12907;15;4761;391;821;777;317;20;419;116;66;138;50;15;33;95;64;63;101;102;41;13;56;32;0;12;3;582;72;16;24;33;10;0;100;27;38;25;109;0;95;18;83;176;65;11;0;70;4;0;11;0;50;40;20;74;134;149;30;45;52;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10771;23595
2005;2;3;Toggenburg;17;57848;6388;21063;1455;5733;71;2066;1108;11237;4933;0;1037;39;23;31;40;0;135;24;48;2;10;0;0;5;0;0;1;4;4;0;4;0;0;0;0;5;0;2;0;2;0;0;1;1;0;2;1;0;0;0;9;7;0;0;0;2;1;0;0;0;0;3;8;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15330;0;3671;165;45;92;168;0;856;184;326;4;26;0;0;10;0;0;1;4;21;0;6;0;0;0;0;21;0;3;0;4;0;0;4;2;0;2;2;0;0;0;31;36;0;0;0;5;4;0;0;0;0;8;12;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6388;21063
2005;2;4;Zürichsee;17;25732;2147;4881;1046;2274;41;919;499;3770;1101;0;441;51;59;29;74;3;101;37;5;8;11;21;1;9;1;0;10;20;0;3;5;3;1;0;3;47;10;2;0;1;0;0;5;8;5;4;11;0;6;0;8;3;4;1;0;1;1;0;1;0;2;5;4;1;4;4;0;5;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2607;0;757;82;69;69;195;14;137;45;6;15;15;26;1;28;5;1;41;20;0;5;5;16;3;0;14;238;102;12;8;3;0;0;23;23;15;17;63;0;24;0;16;22;29;2;0;2;2;0;6;0;7;11;4;1;36;8;0;10;5;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2147;4881
2005;2;0;Rest Schweiz;20;105588;7168;18701;2280;5733;141;3771;2133;14726;4888;5;1324;128;124;109;59;21;77;28;29;23;25;2;4;11;1;11;9;12;4;0;25;7;0;8;0;61;3;2;7;0;30;1;0;3;3;0;7;0;7;8;8;21;1;0;0;6;0;0;2;1;2;0;22;6;0;6;7;9;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12968;26;3178;269;252;297;186;38;195;57;74;32;30;5;4;19;1;27;17;26;13;0;282;16;1;47;0;150;7;17;12;2;30;4;3;29;20;2;19;0;44;14;18;50;4;7;0;35;0;0;2;1;12;0;53;6;22;18;9;27;19;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7168;18701
2005;2;0;Rest Schweiz;99;7000000;918155;2839473;478653;1554506;5068;250000;131058;1707838;439502;762;131622;50458;30763;8289;61815;2088;31131;21014;5197;4560;7471;3094;2498;8205;2416;2050;1964;4704;598;383;2353;1079;320;657;193;29357;3922;1966;475;1246;825;560;1683;1638;1827;3056;1888;0;7257;1908;3384;5758;2360;1981;315;3657;758;114;897;2364;1620;1020;819;508;825;5649;533;482;1586;731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1284967;2468;436762;162559;83071;21598;225984;5577;119001;98361;24719;13054;23659;9552;7240;20018;6426;5483;5682;12706;1550;888;7832;3559;1107;1984;539;81296;11195;6716;1577;4142;2414;2241;6833;4045;6507;7881;6709;0;16837;5011;8696;8670;7101;3807;874;6267;2253;402;2535;3591;3770;2842;2128;1527;2390;22088;1532;1461;5279;2510;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;918155;2839473
2005;2;1;Heidiland;99;11088;691;1429;322;800;15;396;208;966;369;0;247;19;11;12;1;0;3;4;0;3;0;0;0;7;1;0;2;0;0;0;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;629;0;669;19;23;15;1;0;3;4;0;3;0;0;0;7;28;0;6;0;0;0;15;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;691;1429
2005;2;4;Zürichsee;99;113512;14149;29158;6905;14218;118;4054;2392;22061;7244;2;3298;364;401;317;489;24;396;169;120;43;53;31;51;104;24;14;33;78;43;7;47;25;3;8;4;298;23;23;5;21;57;4;3;21;3;12;19;0;36;15;19;19;5;9;0;7;4;0;13;5;3;7;10;12;6;20;18;5;53;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14940;2;6245;647;817;626;1323;36;728;276;215;68;100;76;104;164;26;32;157;204;71;13;85;75;3;53;6;845;55;111;10;50;57;15;6;62;8;47;80;0;81;42;32;75;5;18;0;24;12;0;34;12;14;29;32;50;30;64;37;12;109;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14149;29158
2005;3;0;Rest Schweiz;8;57722;5664;13750;630;2440;63;1862;864;6969;5034;0;393;32;31;11;23;0;66;6;2;2;4;4;0;6;7;2;1;4;0;0;3;0;0;0;0;19;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4;4;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11310;0;1388;117;98;30;74;0;327;36;12;10;32;16;0;15;19;18;24;28;0;0;3;0;0;0;0;64;0;1;0;0;0;2;0;0;0;4;0;0;8;0;72;30;1;0;0;0;0;0;7;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5664;13750
2005;3;0;Rest Schweiz;14;36208;3558;6494;1971;3818;35;1168;636;4815;1587;0;898;125;141;61;138;6;79;76;1;57;31;0;1;19;18;9;6;8;2;0;19;9;2;0;0;142;17;0;0;5;0;3;4;0;0;14;10;0;19;6;5;9;2;1;0;2;2;0;1;1;1;3;0;1;2;1;1;3;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2676;0;1501;186;268;116;265;13;143;142;1;88;63;0;3;46;33;17;10;10;2;0;67;19;2;1;0;441;43;0;0;14;0;6;9;1;0;34;66;0;32;17;29;54;9;3;0;6;14;0;2;2;1;6;0;2;8;1;2;3;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3558;6494
2005;3;0;Rest Schweiz;15;60636;3370;13501;665;2004;75;1956;1094;10351;2705;0;454;28;42;13;24;5;10;12;5;5;3;2;0;5;0;1;2;3;1;1;2;2;0;0;1;17;0;1;0;4;1;0;1;2;0;1;0;0;6;0;3;0;1;0;0;0;0;0;0;0;0;0;0;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11497;0;1269;91;82;26;102;14;22;22;21;7;5;77;0;8;0;2;2;4;8;1;4;10;0;0;2;113;0;6;0;6;22;4;2;4;0;1;0;0;8;0;21;0;1;0;0;0;0;0;0;0;0;0;0;20;1;6;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3370;13501
